Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,"{Temperature},{Humdity}",Weather Type
8.5,16.0,clr,1013.57,5,Spring,5.5,mountain,"{""Temperature"": {""value"": 38.0, ""unit"": ""C""}, ""Humidity"": {""value"": 68, ""unit"": ""%""}}",Sunny
14.0,95.0,overcast,1000.64,3,Winter,5.0,inland,"{""Temperature"": {""value"": 34.0, ""unit"": ""C""}, ""Humidity"": {""value"": 91, ""unit"": ""%""}}",Rainy
2.5,15.0,clear,1018.98,5,Spring,6.0,coastal,"{""Temperature"": {""value"": 30.0, ""unit"": ""C""}, ""Humidity"": {""value"": 20, ""unit"": ""%""}}",Sunny
10.0,75.0,overcast,991.05,8,winter,1.0,inland,"{""Temperature"": {""value"": -8.0, ""unit"": ""C""}, ""Humidity"": {""value"": 81, ""unit"": ""%""}}",Snowy
2.5,3.0,clear,1011.68,8,Summer,5.0,mountain,"{""Temperature"": {""value"": 21.0, ""unit"": ""C""}, ""Humidity"": {""value"": 26, ""unit"": ""%""}}",Sunny
0.004027777777777778KM/S,68.0,overcast,992.78,0,winter,4.0,mountain,"{""Temperature"": {""value"": -4.0, ""unit"": ""C""}, ""Humidity"": {""value"": 87, ""unit"": ""%""}}",Snowy
26.5,97.0,overcast,996.71,1,Winter,1.5,inland,"{""Temperature"": {""value"": 0.0, ""unit"": ""C""}, ""Humidity"": {""value"": 76, ""unit"": ""%""}}",Snowy
18.5,58.0,overcast,984.49,0,It rains every day....,3.0,inland,"{""Temperature"": {""value"": -10.0, ""unit"": ""C""}, ""Humidity"": {""value"": 95, ""unit"": ""%""}}",Snowy
1.0,11.0,clear,1022.88,11,Autumn,5.5,coastal,"{""Temperature"": {""value"": 42.0, ""unit"": ""C""}, ""Humidity"": {""value"": 50, ""unit"": ""%""}}",Sunny
10.0,50.0,partly cloudy,992.7,0,Winter,1.0,mountain,"{""Temperature"": {""value"": -1.0, ""unit"": ""C""}, ""Humidity"": {""value"": 60, ""unit"": ""%""}}",Snowy
5.0,69.0,partly cloudy,986.51,0,Winter,2.5,mountain,"{""Temperature"": {""value"": -9.0, ""unit"": ""C""}, ""Humidity"": {""value"": 92, ""unit"": ""%""}}",Snowy
7.0,45.0,partly Cloudy,1018.89,2,Summer,5.5,inland,"{""Temperature"": {""value"": 17.0, ""unit"": ""C""}, ""Humidity"": {""value"": 73, ""unit"": ""%""}}",Cloudy
0.5,10.0,clear,1016.47,5,winter,7.5,coastal,"{""Temperature"": {""value"": 41.0, ""unit"": ""C""}, ""Humidity"": {""value"": 22, ""unit"": ""%""}}",Sunny
0.0018055555555555555KM/S,92.0,overcast,980.75,1,Winter,1.5,mountain,"{""Temperature"": {""value"": -6.0, ""unit"": ""C""}, ""Humidity"": {""value"": 73, ""unit"": ""%""}}",Snowy
18.5,70.0,overcast,982.16,0,Winter,4.0,inland,"{""Temperature"": {""value"": -4.0, ""unit"": ""C""}, ""Humidity"": {""value"": 92, ""unit"": ""%""}}",Snowy
1.0,39.0,overcast,1009.34,3,Winter,7.0,mountain,"{""Temperature"": {""value"": 25.0, ""unit"": ""C""}, ""Humidity"": {""value"": 60, ""unit"": ""%""}}",Cloudy
1.0,7.0,partly cloddy,1020.35,7,Autumn,6.5,coastal,"{""Temperature"": {""value"": 44.0, ""unit"": ""C""}, ""Humidity"": {""value"": 38, ""unit"": ""%""}}",Sunny
10.0,43.0,cloudy,975.05,7,Summer,18.5,coastal,"{""Temperature"": {""value"": 43.0, ""unit"": ""C""}, ""Humidity"": {""value"": 52, ""unit"": ""%""}}",Rainy
2.0,68.0,cloudy,1159.16,12,Autumn,15.5,mountain,"{""Temperature"": {""value"": 3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 70, ""unit"": ""%""}}",Sunny
2.5,78.0,overcast,989.12,1,Winter,2.0,inland,"{""Temperature"": {""value"": 3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Snowy
1.5,8.0,clr,1017.81,7,Spring,9.5,mountain,"{""Temperature"": {""value"": 38.0, ""unit"": ""C""}, ""Humidity"": {""value"": 47, ""unit"": ""%""}}",Sunny
6.0,82.0,overcast,988.65,0,Winter,4.0,mountain,"{""Temperature"": {""value"": 3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 68, ""unit"": ""%""}}",Snowy
8.5,80.0,overcast,1008.45,0,Spring,2.0,inland,"{""Temperature"": {""value"": 21.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Rainy
7500.0M/H,59.0,overcast,1011.17,3,Winter,3.0,coastal,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 69, ""unit"": ""%""}}",Rainy
4.5,0.0,Clear,1017.24,7,Spring,8.0,inland,"{""Temperature"": {""value"": 21.0, ""unit"": ""C""}, ""Humidity"": {""value"": 68, ""unit"": ""%""}}",Sunny
0.0,81.0,overcast,949.95,1,summer,6.0,inland,"{""Temperature"": {""value"": 17.0, ""unit"": ""C""}, ""Humidity"": {""value"": 32, ""unit"": ""%""}}",Sunny
10.0,44.0,partly cloudy,1007.36,4,Spring,8.0,inland,"{""Temperature"": {""value"": 17.0, ""unit"": ""C""}, ""Humidity"": {""value"": 68, ""unit"": ""%""}}",Cloudy
7.5,84.0,cloudy,837.34,13,I hate summer,3.0,mountain,"{""Temperature"": {""value"": 2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 69, ""unit"": ""%""}}",Snowy
8.5,15.0,overcast,1011.92,2,Winter,7.5,mountain,"{""Temperature"": {""value"": 11.0, ""unit"": ""C""}, ""Humidity"": {""value"": 59, ""unit"": ""%""}}",Cloudy
10.0,62.0,overcast,1009.23,3,Summer,2.5,inland,"{""Temperature"": {""value"": 34.0, ""unit"": ""C""}, ""Humidity"": {""value"": 96, ""unit"": ""%""}}",Rainy
9.5,45.0,partly CLOUDY,1003.98,4,Wentar,5.0,mountain,"{""Temperature"": {""value"": 30.0, ""unit"": ""C""}, ""Humidity"": {""value"": 71, ""unit"": ""%""}}",Cloudy
5.0,2.0,clear,1028.19,10,Summer,9.5,inland,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 32, ""unit"": ""%""}}",Sunny
9.0,88.0,partly cloudy,1013.69,1,Winter,4.0,mountain,"{""Temperature"": {""value"": 21.0, ""unit"": ""C""}, ""Humidity"": {""value"": 67, ""unit"": ""%""}}",Rainy
7.5,2.0,clr,1011.32,10,you can call it Autumn or Fall ,6.0,mountain,"{""Temperature"": {""value"": 20.0, ""unit"": ""C""}, ""Humidity"": {""value"": 58, ""unit"": ""%""}}",Sunny
17.5,82.0,clear,1028.49,4,Winter,11.5,mountain,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 81, ""unit"": ""%""}}",Sunny
0.0022222222222222222KM/S,15.0,clear,1016.3,9,you can call it Autumn or Fall ,7.0,coastal,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 48, ""unit"": ""%""}}",Sunny
4.0,6.0,clear,1024.05,11,Spring,8.0,mountain,"{""Temperature"": {""value"": 25.0, ""unit"": ""C""}, ""Humidity"": {""value"": 53, ""unit"": ""%""}}",Sunny
28.5,96.0,overcast,1000.28,3,It rains every day....,0.5,coastal,"{""Temperature"": {""value"": 52.0, ""unit"": ""C""}, ""Humidity"": {""value"": 83, ""unit"": ""%""}}",Rainy
8.0,12.0,partly cloudy,1021.11,7,Spring,6.0,inland,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 30, ""unit"": ""%""}}",Sunny
5500.0M/H,78.0,partly cloudy,1002.44,3,Autumn,8.5,mountain,"{""Temperature"": {""value"": 37.0, ""unit"": ""C""}, ""Humidity"": {""value"": 95, ""unit"": ""%""}}",Cloudy
9.5,75.0,overcast,988.27,1,Winter,5.0,inland,"{""Temperature"": {""value"": 1.0, ""unit"": ""C""}, ""Humidity"": {""value"": 95, ""unit"": ""%""}}",Snowy
0.0,28.0percent,OVRCST,1002.12,3,Spring,6.0,coastal,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 54, ""unit"": ""%""}}",Cloudy
5.0,13.0,clear,1021.71,10,Winter,7.0,coastal,"{""Temperature"": {""value"": 34.0, ""unit"": ""C""}, ""Humidity"": {""value"": 38, ""unit"": ""%""}}",Sunny
6.0,34.0,partly cloudy,1004.09,1,Autumn,7.0,mountain,"{""Temperature"": {""value"": 25.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Cloudy
7.5,103.0,partly cloudy,994.04,14,Winter,2.0,mountain,"{""Temperature"": {""value"": -19.0, ""unit"": ""C""}, ""Humidity"": {""value"": 93, ""unit"": ""%""}}",Snowy
13.0,31.0,partly cloudy,1016.64,4,Summer,6.5,mountain,"{""Temperature"": {""value"": 22.0, ""unit"": ""C""}, ""Humidity"": {""value"": 65, ""unit"": ""%""}}",Cloudy
3.5,9.0,Clr,1023.47,7,Winter,7.0,coastal,"{""Temperature"": {""value"": 36.0, ""unit"": ""C""}, ""Humidity"": {""value"": 54, ""unit"": ""%""}}",Sunny
13.0,86.0,partly CLOUDY,1006.89,2,Autumn,2.5,coastal,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 65, ""unit"": ""%""}}",Rainy
8.0,3.0,clear,1020.18,7,trees lose their leaves in this time,6.5,mountain,"{""Temperature"": {""value"": 43.0, ""unit"": ""C""}, ""Humidity"": {""value"": 62, ""unit"": ""%""}}",Sunny
33.0,104.0,partly cloudy,1005.89,9,Summer,4.5,coastal,"{""Temperature"": {""value"": 11.0, ""unit"": ""C""}, ""Humidity"": {""value"": 83, ""unit"": ""%""}}",Cloudy
12.0,67.0%,overCst,980.94,0,Winter,4.5,inland,"{""Temperature"": {""value"": 1.0, ""unit"": ""C""}, ""Humidity"": {""value"": 80, ""unit"": ""%""}}",Snowy
8.5,4.0,clear,1023.11,8,Winter,9.5,inland,"{""Temperature"": {""value"": 30.0, ""unit"": ""C""}, ""Humidity"": {""value"": 25, ""unit"": ""%""}}",Sunny
13.0,22.0,partly cloudy,1127.97,6,Winter,9.5,mountain,"{""Temperature"": {""value"": 29.0, ""unit"": ""C""}, ""Humidity"": {""value"": 27, ""unit"": ""%""}}",Sunny
2.5,11.0,Clr,1014.53,10,you can call it Autumn or Fall ,6.0,coastal,"{""Temperature"": {""value"": 20.0, ""unit"": ""C""}, ""Humidity"": {""value"": 41, ""unit"": ""%""}}",Sunny
0.5,39.0,partly CLOUDY,1017.46,3,Winter,7.0,mountain,"{""Temperature"": {""value"": 22.0, ""unit"": ""C""}, ""Humidity"": {""value"": 74, ""unit"": ""%""}}",Cloudy
5.0,96.0,clear,1018.66,10,Autumn,3.5,inland,"{""Temperature"": {""value"": 97.0, ""unit"": ""C""}, ""Humidity"": {""value"": 100, ""unit"": ""%""}}",Sunny
2.0,81.0,overcast,993.59,1,Winter,2.5,inland,"{""Temperature"": {""value"": -4.0, ""unit"": ""C""}, ""Humidity"": {""value"": 81, ""unit"": ""%""}}",Snowy
11.0,23.0,overcast,1017.69,2,Winter,5.0,inland,"{""Temperature"": {""value"": 23.0, ""unit"": ""C""}, ""Humidity"": {""value"": 66, ""unit"": ""%""}}",Cloudy
2.0,8.0,partly cloudy,1028.55,7,Spring,9.5,inland,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 53, ""unit"": ""%""}}",Sunny
0.5,54.0,overcast,985.51,0,Winter,3.0,mountain,"{""Temperature"": {""value"": -4.0, ""unit"": ""C""}, ""Humidity"": {""value"": 98, ""unit"": ""%""}}",Snowy
13000.0M/H,21.0,partly CLOUDY,1006.06,3,Summer,7.0,inland,"{""Temperature"": {""value"": 32.0, ""unit"": ""C""}, ""Humidity"": {""value"": 66, ""unit"": ""%""}}",Cloudy
31.0,85.0,partly cloudy,995.1,9,Winter,1.5,inland,"{""Temperature"": {""value"": 11.0, ""unit"": ""C""}, ""Humidity"": {""value"": 102, ""unit"": ""%""}}",Rainy
9.0,18.0,Clr,1020.46,7,Winter,7.0,coastal,"{""Temperature"": {""value"": 24.0, ""unit"": ""C""}, ""Humidity"": {""value"": 23, ""unit"": ""%""}}",Sunny
19.5,85.0,overcast,996.86,1,Winter,3.0,inland,"{""Temperature"": {""value"": 2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 61, ""unit"": ""%""}}",Snowy
15.5,96.0,partly cloudy,997.0,0,Winter,2.5,mountain,"{""Temperature"": {""value"": 3.0, ""unit"": ""C""}, ""Humidity"": {""value"": 72, ""unit"": ""%""}}",Snowy
19500.0M/H,78.0,overcast,1017.8,2,Autumn,2.0,coastal,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 92, ""unit"": ""%""}}",Rainy
14.0,70.0,overcast,1013.96,3,Summer,2.5,coastal,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 86, ""unit"": ""%""}}",Rainy
14.0,72.0,overcast,984.73,0,Winter,4.0,mountain,"{""Temperature"": {""value"": -6.0, ""unit"": ""C""}, ""Humidity"": {""value"": 99, ""unit"": ""%""}}",Snowy
13.0,48.0,partly cloudy,1018.23,3,It rains every day....,8.5,inland,"{""Temperature"": {""value"": 23.0, ""unit"": ""C""}, ""Humidity"": {""value"": 77, ""unit"": ""%""}}",Cloudy
20.5,76.0,overcast,992.65,0,Winter,2.5,inland,"{""Temperature"": {""value"": -4.0, ""unit"": ""C""}, ""Humidity"": {""value"": 96, ""unit"": ""%""}}",Snowy
0.006944444444444444KM/S,85.0,overcast,982.06,10,Winter,2.5,mountain,"{""Temperature"": {""value"": -9.0, ""unit"": ""C""}, ""Humidity"": {""value"": 86, ""unit"": ""%""}}",Snowy
15.5,96.0,overcast,1019.47,0,Autumn,3.5,mountain,"{""Temperature"": {""value"": 32.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Rainy
19.5,79.0,partly cloudy,991.64,0,Winter,2.0,mountain,"{""Temperature"": {""value"": -10.0, ""unit"": ""C""}, ""Humidity"": {""value"": 86, ""unit"": ""%""}}",Snowy
4.5,18.0,partly Cloudy,1013.83,11,Autumn,8.5,inland,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 63, ""unit"": ""%""}}",Sunny
20.0,59.0,overcast,998.86,3,winter,1.5,mountain,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 71, ""unit"": ""%""}}",Rainy
12.0,29.0,partly cloudy,1063.71,7,Autumn,6.0,coastal,"{""Temperature"": {""value"": 32.0, ""unit"": ""C""}, ""Humidity"": {""value"": 31, ""unit"": ""%""}}",Sunny
18.0,65.0,overcast,1010.8,1,Winter,1.5,inland,"{""Temperature"": {""value"": 12.0, ""unit"": ""C""}, ""Humidity"": {""value"": 99, ""unit"": ""%""}}",Rainy
9.0,79.0,overcast,983.75,0,Winter,5.0,inland,"{""Temperature"": {""value"": 4.0, ""unit"": ""C""}, ""Humidity"": {""value"": 78, ""unit"": ""%""}}",Snowy
12000.0M/H,49.0,overcast,1003.54,4,Winter,5.0,coastal,"{""Temperature"": {""value"": 25.0, ""unit"": ""C""}, ""Humidity"": {""value"": 54, ""unit"": ""%""}}",Cloudy
5.5,73.0,partly CLOUDY,1005.24,2,Winter,2.5,inland,"{""Temperature"": {""value"": 32.0, ""unit"": ""C""}, ""Humidity"": {""value"": 73, ""unit"": ""%""}}",Rainy
9.0,0.0,partly cloudy,1020.17,11,It is so hot outside,9.5,inland,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 36, ""unit"": ""%""}}",Sunny
2.0,71.0,clr,1010.56,10,Spring,4.0,inland,"{""Temperature"": {""value"": 84.0, ""unit"": ""C""}, ""Humidity"": {""value"": 81, ""unit"": ""%""}}",Sunny
2.5,89.0,partly cloudy,996.32,1,winter,2.0,mountain,"{""Temperature"": {""value"": -6.0, ""unit"": ""C""}, ""Humidity"": {""value"": 93, ""unit"": ""%""}}",Snowy
7.5,49.0,partly cloudy,1015.65,1,Winter,7.0,mountain,"{""Temperature"": {""value"": 31.0, ""unit"": ""C""}, ""Humidity"": {""value"": 56, ""unit"": ""%""}}",Cloudy
0.002916666666666667KM/S,39.0%,Overcast,1008.15,3,Spring,8.5,mountain,"{""Temperature"": {""value"": 25.0, ""unit"": ""C""}, ""Humidity"": {""value"": 53, ""unit"": ""%""}}",Cloudy
8.5,26.0,partly CLOUDY,1018.16,4,Spring,6.5,mountain,"{""Temperature"": {""value"": 14.0, ""unit"": ""C""}, ""Humidity"": {""value"": 61, ""unit"": ""%""}}",Cloudy
10.0,39.0,overcast,1003.66,4,Autumn,8.0,coastal,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 63, ""unit"": ""%""}}",Cloudy
14.0,69.0,overcast,857.72,4,Summer,9.5,mountain,"{""Temperature"": {""value"": -15.0, ""unit"": ""C""}, ""Humidity"": {""value"": 70, ""unit"": ""%""}}",Sunny
4.0,19.0,Clear,1023.01,10,Winter,9.5,inland,"{""Temperature"": {""value"": 29.0, ""unit"": ""C""}, ""Humidity"": {""value"": 44, ""unit"": ""%""}}",Sunny
16.0,60.0,partly cloudy,999.71,1,Winter,3.5,mountain,"{""Temperature"": {""value"": 0.0, ""unit"": ""C""}, ""Humidity"": {""value"": 76, ""unit"": ""%""}}",Snowy
6.5,55.0,overcast,927.67,5,Wentar,1.0,coastal,"{""Temperature"": {""value"": 48.0, ""unit"": ""C""}, ""Humidity"": {""value"": 33, ""unit"": ""%""}}",Sunny
1.5,34.0percent,OVRCST,1008.11,1,Wentar,8.5,coastal,"{""Temperature"": {""value"": 34.0, ""unit"": ""C""}, ""Humidity"": {""value"": 79, ""unit"": ""%""}}",Cloudy
13500.0M/H,27.0,overcast,1186.57,2,sumer,17.5,inland,"{""Temperature"": {""value"": 18.0, ""unit"": ""C""}, ""Humidity"": {""value"": 62, ""unit"": ""%""}}",Rainy
2.0,7.0,cleer,1024.42,9,Spring,10.0,mountain,"{""Temperature"": {""value"": 38.0, ""unit"": ""C""}, ""Humidity"": {""value"": 36, ""unit"": ""%""}}",Sunny
15.0,99.0,overcast,997.52,0,It rains every day....,4.5,mountain,"{""Temperature"": {""value"": 1.0, ""unit"": ""C""}, ""Humidity"": {""value"": 69, ""unit"": ""%""}}",Snowy
8.0,91.0,overcast,1008.25,0,Summer,1.5,mountain,"{""Temperature"": {""value"": 11.0, ""unit"": ""C""}, ""Humidity"": {""value"": 63, ""unit"": ""%""}}",Rainy
9.0,20.0,partly cloddy,857.34,2,Spring,10.5,mountain,"{""Temperature"": {""value"": 9.0, ""unit"": ""C""}, ""Humidity"": {""value"": 33, ""unit"": ""%""}}",Rainy
9.5,72.0,overcast,990.42,1,Winter,2.5,mountain,"{""Temperature"": {""value"": -5.0, ""unit"": ""C""}, ""Humidity"": {""value"": 79, ""unit"": ""%""}}",Snowy
0.005138888888888889KM/S,70.0,overcast,1008.25,1,Summer,2.5,mountain,"{""Temperature"": {""value"": 13.0, ""unit"": ""C""}, ""Humidity"": {""value"": 99, ""unit"": ""%""}}",Rainy
17.0,75.0,overcast,1017.62,3,Winter,2.5,mountain,"{""Temperature"": {""value"": 20.0, ""unit"": ""C""}, ""Humidity"": {""value"": 90, ""unit"": ""%""}}",Rainy
9500.0M/H,12.0,partly cloudy,1015.87,6,Summer,7.0,coastal,"{""Temperature"": {""value"": 23.0, ""unit"": ""C""}, ""Humidity"": {""value"": 21, ""unit"": ""%""}}",Sunny
12.0,46.0,cloudy,931.12,3,Autumn,4.0,inland,"{""Temperature"": {""value"": -6.0, ""unit"": ""C""}, ""Humidity"": {""value"": 76, ""unit"": ""%""}}",Rainy
9.5,14.0,Clear,1026.38,6,Autumn,7.5,inland,"{""Temperature"": {""value"": 25.0, ""unit"": ""C""}, ""Humidity"": {""value"": 40, ""unit"": ""%""}}",Sunny
8.0,14.0,partly cloddy,1015.38,7,Autumn,7.0,inland,"{""Temperature"": {""value"": 42.0, ""unit"": ""C""}, ""Humidity"": {""value"": 56, ""unit"": ""%""}}",Sunny
4.0,8.0,clear,1028.58,8,Spring,8.0,coastal,"{""Temperature"": {""value"": 22.0, ""unit"": ""C""}, ""Humidity"": {""value"": 42, ""unit"": ""%""}}",Sunny
19.0,54.0,overcast,997.26,0,Winter,2.5,inland,"{""Temperature"": {""value"": 1.0, ""unit"": ""C""}, ""Humidity"": {""value"": 98, ""unit"": ""%""}}",Snowy
8000.0M/H,21.0,partly cloudy,1019.21,2,Autumn,6.5,coastal,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 78, ""unit"": ""%""}}",Cloudy
2.0,12.0,clr,1014.9,8,Winter,9.5,mountain,"{""Temperature"": {""value"": 39.0, ""unit"": ""C""}, ""Humidity"": {""value"": 46, ""unit"": ""%""}}",Sunny
0.0033333333333333335KM/S,63.0,partly cloudy,1008.53,3,Winter,2.5,coastal,"{""Temperature"": {""value"": 26.0, ""unit"": ""C""}, ""Humidity"": {""value"": 98, ""unit"": ""%""}}",Rainy
24500.0M/H,73.0,overcast,1017.53,2,It rains every day....,0.5,inland,"{""Temperature"": {""value"": 44.0, ""unit"": ""C""}, ""Humidity"": {""value"": 91, ""unit"": ""%""}}",Rainy
15.0,100.0,partly cloudy,1022.88,10,Summer,13.0,coastal,"{""Temperature"": {""value"": 60.0, ""unit"": ""C""}, ""Humidity"": {""value"": 91, ""unit"": ""%""}}",Sunny
8.0,85.0,Party cloudy,1018.88,5,Spring,9.0,coastal,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 89, ""unit"": ""%""}}",Sunny
5.5,42.0,partly cloudy,938.68,8,Autumn,2.0,coastal,"{""Temperature"": {""value"": -18.0, ""unit"": ""C""}, ""Humidity"": {""value"": 28, ""unit"": ""%""}}",Rainy
9.0,84.0,overcast,998.06,1,Winter,4.5,mountain,"{""Temperature"": {""value"": -5.0, ""unit"": ""C""}, ""Humidity"": {""value"": 92, ""unit"": ""%""}}",Snowy
10.0,59.0,overcast,997.45,0,Winter,2.5,mountain,"{""Temperature"": {""value"": 2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 71, ""unit"": ""%""}}",Snowy
5.5,27.0,partly Cloudy,1003.31,2,Autumn,8.0,inland,"{""Temperature"": {""value"": 19.0, ""unit"": ""C""}, ""Humidity"": {""value"": 64, ""unit"": ""%""}}",Cloudy
1.0,12.0,cleer,1022.17,9,you can call it Autumn or Fall ,10.0,coastal,"{""Temperature"": {""value"": 24.0, ""unit"": ""C""}, ""Humidity"": {""value"": 66, ""unit"": ""%""}}",Sunny
24000.0M/H,93.0,overcast,1009.0,6,Autumn,11.0,inland,"{""Temperature"": {""value"": 41.0, ""unit"": ""C""}, ""Humidity"": {""value"": 103, ""unit"": ""%""}}",Cloudy
7.0,34.0,overcast,1019.41,1,summer,7.0,coastal,"{""Temperature"": {""value"": 10.0, ""unit"": ""C""}, ""Humidity"": {""value"": 79, ""unit"": ""%""}}",Cloudy
12.0,35.0,partly cloddy,1017.78,1,trees lose their leaves in this time,6.0,mountain,"{""Temperature"": {""value"": 30.0, ""unit"": ""C""}, ""Humidity"": {""value"": 54, ""unit"": ""%""}}",Cloudy
34.0,82.0,overcast,1001.29,6,Winter,5.0,coastal,"{""Temperature"": {""value"": 21.0, ""unit"": ""C""}, ""Humidity"": {""value"": 108, ""unit"": ""%""}}",Cloudy
3.0,16.0,clear,1015.2,11,Spring,9.5,coastal,"{""Temperature"": {""value"": 36.0, ""unit"": ""C""}, ""Humidity"": {""value"": 36, ""unit"": ""%""}}",Sunny
0.0022222222222222222KM/S,34.0,Party cloudy,1010.99,4,trees lose their leaves in this time,7.0,inland,"{""Temperature"": {""value"": 12.0, ""unit"": ""C""}, ""Humidity"": {""value"": 69, ""unit"": ""%""}}",Cloudy
8.5,23.0,overcast,1017.97,4,Spring,7.5,coastal,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 66, ""unit"": ""%""}}",Cloudy
10.0,29.0,overcast,1004.78,4,Spring,7.5,inland,"{""Temperature"": {""value"": 29.0, ""unit"": ""C""}, ""Humidity"": {""value"": 70, ""unit"": ""%""}}",Cloudy
16.0,76.0,overcast,985.73,0,Winter,3.5,inland,"{""Temperature"": {""value"": 0.0, ""unit"": ""C""}, ""Humidity"": {""value"": 73, ""unit"": ""%""}}",Snowy
7.0,92.0,overcast,980.64,1,Winter,2.5,inland,"{""Temperature"": {""value"": -6.0, ""unit"": ""C""}, ""Humidity"": {""value"": 94, ""unit"": ""%""}}",Snowy
18.5,63.0,overcast,992.66,2,Summer,1.0,inland,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 87, ""unit"": ""%""}}",Rainy
7500.0M/H,68.0,overcast,981.83,1,Winter,3.5,inland,"{""Temperature"": {""value"": -7.0, ""unit"": ""C""}, ""Humidity"": {""value"": 76, ""unit"": ""%""}}",Snowy
9.0,31.0,overcast,1006.99,4,Spring,5.0,coastal,"{""Temperature"": {""value"": 28.0, ""unit"": ""C""}, ""Humidity"": {""value"": 69, ""unit"": ""%""}}",Cloudy
10.0,10.0,Clear,1011.66,6,Winter,9.0,inland,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 55, ""unit"": ""%""}}",Sunny
14.0,59.0,overcast,994.55,1,Wintar,4.5,inland,"{""Temperature"": {""value"": -2.0, ""unit"": ""C""}, ""Humidity"": {""value"": 96, ""unit"": ""%""}}",Snowy
2000.0M/H,15.0,partly cloddy,1020.46,5,Autumn,9.5,inland,"{""Temperature"": {""value"": 38.0, ""unit"": ""C""}, ""Humidity"": {""value"": 58, ""unit"": ""%""}}",Sunny
9.5,95.0,overcast,995.4,1,Winter,5.0,mountain,"{""Temperature"": {""value"": -5.0, ""unit"": ""C""}, ""Humidity"": {""value"": 60, ""unit"": ""%""}}",Snowy
0.5,93.0,overcast,985.06,0,Wintar,4.0,inland,"{""Temperature"": {""value"": -5.0, ""unit"": ""C""}, ""Humidity"": {""value"": 77, ""unit"": ""%""}}",Snowy
1.5,46.0,partly CLOUDY,1012.43,4,Autumn,5.5,coastal,"{""Temperature"": {""value"": 22.0, ""unit"": ""C""}, ""Humidity"": {""value"": 72, ""unit"": ""%""}}",Cloudy
14.5,29.0,cloudy,827.53,14,It rains every day....,1.0,inland,"{""Temperature"": {""value"": 45.0, ""unit"": ""C""}, ""Humidity"": {""value"": 21, ""unit"": ""%""}}",Snowy
10.5,99.0,partly cloudy,996.42,0,Winter,5.0,mountain,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 66, ""unit"": ""%""}}",Rainy
12.5,89.0,overcast,981.15,1,Winter,2.0,inland,"{""Temperature"": {""value"": -1.0, ""unit"": ""C""}, ""Humidity"": {""value"": 78, ""unit"": ""%""}}",Snowy
11.5,48.0,partly cloudy,1017.08,1,Autumn,6.5,inland,"{""Temperature"": {""value"": 33.0, ""unit"": ""C""}, ""Humidity"": {""value"": 50, ""unit"": ""%""}}",Cloudy
12.5,59.0,overcast,995.11,2,Autumn,4.0,inland,"{""Temperature"": {""value"": 27.0, ""unit"": ""C""}, ""Humidity"": {""value"": 70, ""unit"": ""%""}}",Rainy
